대피시설명,지번주소,도로명주소,대피시설 인원수,경도,위도
세신프라자,서울특별시 노원구 중계동 360-7,서울특별시 노원구 한글비석로 253,686,127.076349,37.650422
동부적십자혈액원,서울특별시 노원구 상계동 764,서울특별시 노원구 동일로 1329,658,127.062489,37.646999
북부장애인복지관,서울특별시 노원구 상계동 771,서울특별시 노원구 덕릉로70가길 92,1696,127.05697,37.642537
시립뇌성마비복지관,서울특별시 노원구 상계동 771,서울특별시 노원구 덕릉로70가길 96,772,127.05658,37.642443
한전북부지점,서울특별시 노원구 상계동 700,서울특별시 노원구 노해로 429,1090,127.055578,37.653663
상계6.7동주민센터,서울특별시 노원구 상계동 722,서울특별시 노원구 노원로 429,545,127.066952,37.654882
서울시 북부기술 교육원,서울특별시 노원구 상계동 771-2,서울특별시 노원구 덕릉로70가길 81,1152,127.058592,37.642295
중계1동주민센터,서울특별시 노원구 중계동 359-5,서울특별시 노원구 한글비석로 279,218,127.077475,37.652548
청암기술고,서울특별시 노원구 중계동 411-1,서울특별시 노원구 중계로 244,303,127.073862,37.651779
청구아파트,서울특별시 노원구 중계동 360-2,서울특별시 노원구 중계로 225,10909,127.074984,37.650383
공릉2동 주민센터,서울특별시 노원구 공릉동 87-7,서울특별시 노원구 노원로1길 68,400,127.083378,37.621287
상계1동 주민센터,서울특별시 노원구 상계동 1259,서울특별시 노원구 동일로 1697,424,127.054963,37.679929
노원역 7호선,서울특별시 노원구 상계동 729,서울특별시 노원구 동일로 지하 1409,6060,127.06052,37.654695
노원구청,서울특별시 노원구 상계동 701-1,서울특별시 노원구 노해로 437,5454,127.056984,37.654581
주공2단지관리사무소,서울특별시 노원구 월계동 556,서울특별시 노원구 초안산로1길 18,1162,127.051604,37.629162
유치원상가,서울특별시 노원구 월계동 582,서울특별시 노원구 초안산로 19,606,127.054169,37.629546
충은교회,서울특별시 노원구 월계동 554,서울특별시 노원구 초안산로3길 41,1454,127.05208,37.629583
주공2단지상가,서울특별시 노원구 월계동 556,서울특별시 노원구 초안산로1길 18,1030,127.051604,37.629162
주공4단지 나상가,서울특별시 노원구 상계동 749-5,서울특별시 노원구 동일로 1362,800,127.062179,37.65025
상계백병원,서울특별시 노원구 상계동 761-1,서울특별시 노원구 동일로 1342,2181,127.063116,37.648581
성서신학대학,서울특별시 노원구 상계동 205-4,서울특별시 노원구 동일로214길 32,888,127.063751,37.648963
수락파크빌아파트 지하주차장,서울특별시 노원구 상계동 1269,서울특별시 노원구 동일로248길 16,29900,127.056735,37.678998
공릉2동 공릉보건지소,서울특별시 노원구 공릉동 221-3,서울특별시 노원구 공릉로 166-1,1915,127.080002,37.624789
공릉2동 화랑대역,서울특별시 노원구 공릉동 285-2,서울특별시 노원구 화랑로 지하 510,42424,127.083744,37.619895
공릉2동 평화타운,서울특별시 노원구 공릉동 420-2,서울특별시 노원구 공릉로46길 3,1454,127.079143,37.627164
중계그린아파트 상가,서울특별시 노원구 상계동 651-8,서울특별시 노원구 동일로 1527,424,127.057395,37.664795
건영옴니백화점,서울특별시 노원구 중계동 506-1,서울특별시 노원구 섬밭로 258,30303,127.064916,37.639109
정안프라자,서울특별시 노원구 중계동 515-2,서울특별시 노원구 동일로 1308,1795,127.064166,37.645975
중계무지개 아파트상가,서울특별시 노원구 중계동 513,서울특별시 노원구 동일로208길 19,606,127.06591,37.645614
무지개아파트 관리사무소,서울특별시 노원구 중계동 512,서울특별시 노원구 동일로208길 20,727,127.066996,37.643256
평화사회복지관,서울특별시 노원구 중계동 514-3,서울특별시 노원구 노원로 331,1454,127.069659,37.646177
목련아파트 상가,서울특별시 노원구 중계동 514-3,서울특별시 노원구 노원로 333,484,127.069764,37.646631
시영4단지목화아파트 상가,서울특별시 노원구 중계동 511-2,서울특별시 노원구 노원로19길 31,484,127.068755,37.643486
농협 지하주차장,서울특별시 노원구 상계동 651-1,서울특별시 노원구 동일로 1553,200,127.056794,37.667076
연촌초등학교,서울특별시 노원구 하계동 152,서울특별시 노원구 공릉로58길 36,848,127.072512,37.634416
